Ano de eleição;Cor / Raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Identidade de gênero;Intérprete de libras;Município;Nome social;País;Quilombola;Região;Turno;UF;Quantidade de eleitores deficientes abstenção;Quantidade de eleitores comparecimento TTE;Quantidade de eleitores abstenção TTE;Quantidade de eleitores abstenção obrigatório;Quantidade de eleitores facultativos;Quantidade de eleitores obrigatórios;Quantidade de eleitores comparecimento facultativo;Quantidade de eleitores comparecimento obrigatório;Quantidade de eleitores deficientes facultativo;Quantidade de eleitores deficientes obrigatório;Quantidade de eleitores deficientes comparecimento;Quantidade de eleitores deficientes abstenção facultativo;Quantidade de eleitores deficientes abstenção obrigatório;Quantidade de eleitores nome social;Quantidade de eleitores aptos;Quantidade de eleitores comparecimento;Quantidade de eleitores abstenção;Data de carga
2024;Amarela;CASADO;70 a 74 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;Prefere não informar;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;DIVORCIADO;35 a 39 anos                  ;FEMININO;SUPERIOR INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;DIVORCIADO;40 a 44 anos                  ;MASCULINO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;DIVORCIADO;45 a 49 anos                  ;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;1;0;2;0;1;0;0;0;0;0;0;2;1;1;2025-04-29 16:22:43
2024;Amarela;DIVORCIADO;55 a 59 anos                  ;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;SEPARADO JUDICIALMENTE;55 a 59 anos                  ;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;16 anos                       ;MASCULINO;ENSINO MÉDIO INCOMPLETO;Prefere não informar;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;17 anos                       ;FEMININO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;17 anos                       ;MASCULINO;ENSINO MÉDIO INCOMPLETO;Prefere não informar;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;18 anos                       ;MASCULINO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;18 anos                       ;MASCULINO;SUPERIOR INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;19 anos                       ;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;2;0;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;19 anos                       ;FEMININO;ENSINO MÉDIO COMPLETO;Prefere não informar;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;20 anos                       ;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;20 anos                       ;FEMININO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;20 anos                       ;MASCULINO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;20 anos                       ;MASCULINO;SUPERIOR INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;21 a 24 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;1;0;2;0;1;0;0;0;0;0;0;2;1;1;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;25 a 29 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;Prefere não informar;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;25 a 29 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;25 a 29 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;Prefere não informar;SIM;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;25 a 29 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;Prefere não informar;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;1;0;2;0;1;0;0;0;0;0;0;2;1;1;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;25 a 29 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;25 a 29 anos                  ;MASCULINO;ENSINO MÉDIO INCOMPLETO;Prefere não informar;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;25 a 29 anos                  ;MASCULINO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;30 a 34 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;30 a 34 anos                  ;FEMININO;SUPERIOR INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;30 a 34 anos                  ;FEMININO;SUPERIOR INCOMPLETO;Prefere não informar;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;30 a 34 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;30 a 34 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;Prefere não informar;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;1;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;1;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;30 a 34 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;Prefere não informar;SIM;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;35 a 39 anos                  ;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;SIM;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;35 a 39 anos                  ;FEMININO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;35 a 39 anos                  ;FEMININO;SUPERIOR INCOMPLETO;Prefere não informar;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
2024;Amarela;SOLTEIRO;35 a 39 anos                  ;MASCULINO;ENSINO MÉDIO COMPLETO;Prefere não informar;NÃO;ITAJAÍ;Não;Brasil;NÃO;SUL;1;SC;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;2025-04-29 16:22:43
