Ano de eleição;Cor / Raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Identidade de gênero;Intérprete de libras;Município;País;Quilombola;Região;UF;Quantidade de eleitores com biometria;Quantidade de eleitores com deficiência;Quantidade de eleitores com nome social;Quantidade de eleitores;Quantidade voto facultativo;Quantidade voto facultativo deficiência;Quantidade voto obrigatório;Quantidade voto obrigatório deficiência;Data de carga
2026;Amarela;SOLTEIRO;20 anos;MASCULINO;ENSINO MÉDIO COMPLETO;Prefere não informar;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;20 anos;MASCULINO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;20 anos;MASCULINO;SUPERIOR INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;2;0;0;2;0;;2;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;21 a 24 anos;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;21 a 24 anos;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;7;0;0;8;0;;8;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;21 a 24 anos;FEMININO;ENSINO MÉDIO COMPLETO;Prefere não informar;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;21 a 24 anos;FEMININO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;3;0;0;3;0;;3;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;21 a 24 anos;FEMININO;ENSINO MÉDIO INCOMPLETO;Prefere não informar;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;1;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;21 a 24 anos;MASCULINO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;2;0;0;2;0;;2;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;21 a 24 anos;MASCULINO;ENSINO MÉDIO COMPLETO;Prefere não informar;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;21 a 24 anos;MASCULINO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;2;0;0;2;0;;2;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;21 a 24 anos;MASCULINO;SUPERIOR INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;2;0;0;2;0;;2;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;25 a 29 anos;FEMININO;ENSINO FUNDAMENTAL COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;25 a 29 anos;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;3;0;0;3;0;;3;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;25 a 29 anos;FEMININO;ENSINO MÉDIO COMPLETO;Prefere não informar;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;25 a 29 anos;FEMININO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;3;0;0;3;0;;3;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;25 a 29 anos;FEMININO;ENSINO MÉDIO INCOMPLETO;Prefere não informar;SIM;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;25 a 29 anos;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;2;0;0;2;0;;2;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;25 a 29 anos;FEMININO;SUPERIOR INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;3;0;0;3;0;;3;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;25 a 29 anos;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;25 a 29 anos;MASCULINO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;3;0;0;3;0;;3;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;25 a 29 anos;MASCULINO;ENSINO MÉDIO COMPLETO;Prefere não informar;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;2;0;0;2;0;;2;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;25 a 29 anos;MASCULINO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;4;0;0;4;0;;4;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;30 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;3;0;0;3;0;;3;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;30 a 34 anos;FEMININO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;2;0;0;2;0;;2;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;30 a 34 anos;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;4;0;0;4;0;;4;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;30 a 34 anos;FEMININO;SUPERIOR INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;2;0;0;3;0;;3;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;30 a 34 anos;MASCULINO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;3;1;0;3;0;;3;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;30 a 34 anos;MASCULINO;ENSINO MÉDIO COMPLETO;Prefere não informar;SIM;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;30 a 34 anos;MASCULINO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;3;0;0;3;0;;3;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;30 a 34 anos;MASCULINO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;2;0;0;2;0;;2;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;35 a 39 anos;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;2;0;0;2;0;;2;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;35 a 39 anos;FEMININO;ENSINO MÉDIO COMPLETO;Prefere não informar;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;35 a 39 anos;FEMININO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;2;0;;2;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;35 a 39 anos;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;35 a 39 anos;FEMININO;SUPERIOR INCOMPLETO;Prefere não informar;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;2;0;0;2;0;;2;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;35 a 39 anos;MASCULINO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;3;0;0;3;0;;3;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;35 a 39 anos;MASCULINO;ENSINO MÉDIO COMPLETO;Prefere não informar;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;2;0;0;2;0;;2;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;35 a 39 anos;MASCULINO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;2;0;0;2;0;;2;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;35 a 39 anos;MASCULINO;SUPERIOR COMPLETO;Prefere não informar;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;35 a 39 anos;MASCULINO;SUPERIOR INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;40 a 44 anos;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;40 a 44 anos;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;SIM;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;40 a 44 anos;FEMININO;ENSINO MÉDIO COMPLETO;Prefere não informar;SIM;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;40 a 44 anos;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;40 a 44 anos;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;Prefere não informar;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;40 a 44 anos;MASCULINO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;40 a 44 anos;MASCULINO;SUPERIOR INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;45 a 49 anos;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;2;0;0;2;0;;2;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;45 a 49 anos;FEMININO;LÊ E ESCREVE;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;1;0;0;1;0;;1;;18/07/2026 07:17
2026;Amarela;SOLTEIRO;45 a 49 anos;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;NÃO;SUL;SC;2;0;0;2;0;;2;;18/07/2026 07:17
