Ano de eleição;Estado civil;Faixa etária;Gênero;Grau de escolaridade;Identidade de gênero;Intérprete de libras;Município;País;Partido;Quilombola;Raça/cor;Região;Tempo de filiação;UF;Quantitativo de filiados;Quantitativo de filiados com deficiência;Quantitativo de filiados com nome social;Data de carga
2024;CASADO;21 a 24 anos;FEMININO;ENSINO MÉDIO INCOMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PSB;NÃO INFORMADO;NÃO INFORMADO;SUL;Menos de 1 ano;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;21 a 24 anos;FEMININO;SUPERIOR INCOMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;SOLIDARIEDADE;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO FUNDAMENTAL COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;AVANTE;NÃO INFORMADO;NÃO INFORMADO;SUL;1 a 5 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO FUNDAMENTAL COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;CIDADANIA;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO FUNDAMENTAL COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;MDB;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO FUNDAMENTAL COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;MDB;NÃO INFORMADO;NÃO INFORMADO;SUL;Mais de 10 anos;SC;2;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO FUNDAMENTAL COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;MOBILIZA;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO FUNDAMENTAL COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;MOBILIZA;NÃO INFORMADO;NÃO INFORMADO;SUL;Mais de 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO FUNDAMENTAL COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PP;NÃO INFORMADO;NÃO INFORMADO;SUL;Mais de 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO FUNDAMENTAL COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PRD;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO FUNDAMENTAL COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PSB;NÃO INFORMADO;NÃO INFORMADO;SUL;Menos de 1 ano;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO FUNDAMENTAL COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PSD;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;3;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO FUNDAMENTAL COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PSD;NÃO INFORMADO;NÃO INFORMADO;SUL;Mais de 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO FUNDAMENTAL COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;UNIÃO;NÃO INFORMADO;NÃO INFORMADO;SUL;1 a 5 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO FUNDAMENTAL COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;UNIÃO;NÃO INFORMADO;NÃO INFORMADO;SUL;Menos de 1 ano;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;PRD;NÃO;Branca;SUL;Mais de 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;MDB;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PRD;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;3;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;UNIÃO;NÃO INFORMADO;NÃO INFORMADO;SUL;Mais de 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;CIDADANIA;NÃO;Parda;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;MDB;NÃO;Branca;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;MDB;NÃO;Parda;SUL;1 a 5 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;PDT;NÃO;Branca;SUL;1 a 5 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;PODE;NÃO;Branca;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;PODE;NÃO;Preta;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;PSB;NÃO;Parda;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;PSDB;NÃO;Preta;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;REPUBLICANOS;NÃO;Branca;SUL;Mais de 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;REPUBLICANOS;NÃO;Parda;SUL;Mais de 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;REPUBLICANOS;NÃO;Preta;SUL;Mais de 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;UNIÃO;NÃO;Branca;SUL;Menos de 1 ano;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;AGIR;NÃO INFORMADO;NÃO INFORMADO;SUL;Mais de 10 anos;SC;2;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;CIDADANIA;NÃO INFORMADO;NÃO INFORMADO;SUL;1 a 5 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;CIDADANIA;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;MDB;NÃO INFORMADO;NÃO INFORMADO;SUL;1 a 5 anos;SC;4;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;MDB;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;13;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;MDB;NÃO INFORMADO;NÃO INFORMADO;SUL;Mais de 10 anos;SC;2;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PDT;NÃO INFORMADO;NÃO INFORMADO;SUL;1 a 5 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PDT;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;2;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PL;NÃO INFORMADO;NÃO INFORMADO;SUL;1 a 5 anos;SC;2;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PL;NÃO INFORMADO;NÃO INFORMADO;SUL;Menos de 1 ano;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PP;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PP;NÃO INFORMADO;NÃO INFORMADO;SUL;Mais de 10 anos;SC;2;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PRD;NÃO INFORMADO;NÃO INFORMADO;SUL;1 a 5 anos;SC;3;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PRD;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;13;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PRD;NÃO INFORMADO;NÃO INFORMADO;SUL;Mais de 10 anos;SC;4;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PSB;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PSB;NÃO INFORMADO;NÃO INFORMADO;SUL;Menos de 1 ano;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PSD;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;2;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PSD;NÃO INFORMADO;NÃO INFORMADO;SUL;Mais de 10 anos;SC;2;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PSD;NÃO INFORMADO;NÃO INFORMADO;SUL;Menos de 1 ano;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PSDB;NÃO INFORMADO;NÃO INFORMADO;SUL;Mais de 10 anos;SC;3;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PSOL;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PT;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PT;NÃO INFORMADO;NÃO INFORMADO;SUL;Mais de 10 anos;SC;2;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;REPUBLICANOS;NÃO INFORMADO;NÃO INFORMADO;SUL;1 a 5 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;REPUBLICANOS;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;REPUBLICANOS;NÃO INFORMADO;NÃO INFORMADO;SUL;Mais de 10 anos;SC;3;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;UNIÃO;NÃO INFORMADO;NÃO INFORMADO;SUL;1 a 5 anos;SC;3;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;UNIÃO;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;UNIÃO;NÃO INFORMADO;NÃO INFORMADO;SUL;Mais de 10 anos;SC;2;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;UNIÃO;NÃO INFORMADO;NÃO INFORMADO;SUL;Menos de 1 ano;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO COMPLETO;Prefere não informar;NÃO;ITAJAÍ;Brasil;PP;NÃO;Parda;SUL;Mais de 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;CIDADANIA;NÃO;Preta;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;MDB;NÃO;Branca;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;PCO;NÃO;Parda;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO INCOMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;PRD;NÃO;Parda;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO INCOMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;CIDADANIA;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO INCOMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;MDB;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;7;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO INCOMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PL;NÃO INFORMADO;NÃO INFORMADO;SUL;1 a 5 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO INCOMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PP;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;2;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO INCOMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PRD;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;5;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO INCOMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PSD;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO INCOMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PSDB;NÃO INFORMADO;NÃO INFORMADO;SUL;1 a 5 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO INCOMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PSDB;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;2;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO INCOMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PSOL;NÃO INFORMADO;NÃO INFORMADO;SUL;1 a 5 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO INCOMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;SOLIDARIEDADE;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;2;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;ENSINO MÉDIO INCOMPLETO;Prefere não informar;NÃO;ITAJAÍ;Brasil;PODE;NÃO;Parda;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;CIDADANIA;NÃO;Branca;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;MDB;NÃO;Branca;SUL;1 a 5 anos;SC;2;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;MDB;NÃO;Branca;SUL;5 a 10 anos;SC;3;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;MDB;NÃO;Branca;SUL;Mais de 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;MDB;NÃO;Parda;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;PDT;NÃO;Branca;SUL;1 a 5 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;PL;NÃO;Parda;SUL;Menos de 1 ano;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;PRD;NÃO;Branca;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;PSD;NÃO;Parda;SUL;Menos de 1 ano;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;PSOL;NÃO;Preta;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;REPUBLICANOS;NÃO;Parda;SUL;1 a 5 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;SUPERIOR COMPLETO;Cisgênero;NÃO;ITAJAÍ;Brasil;SOLIDARIEDADE;NÃO;Branca;SUL;1 a 5 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;SUPERIOR COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;AVANTE;NÃO INFORMADO;NÃO INFORMADO;SUL;Mais de 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;SUPERIOR COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;CIDADANIA;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;SUPERIOR COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;CIDADANIA;NÃO INFORMADO;NÃO INFORMADO;SUL;Mais de 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;SUPERIOR COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;MDB;NÃO INFORMADO;NÃO INFORMADO;SUL;1 a 5 anos;SC;2;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;SUPERIOR COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;MDB;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;7;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;SUPERIOR COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;MDB;NÃO INFORMADO;NÃO INFORMADO;SUL;Mais de 10 anos;SC;3;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;SUPERIOR COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;NOVO;NÃO INFORMADO;NÃO INFORMADO;SUL;1 a 5 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;SUPERIOR COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;NOVO;NÃO INFORMADO;NÃO INFORMADO;SUL;Menos de 1 ano;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;SUPERIOR COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PCDOB;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;SUPERIOR COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PDT;NÃO INFORMADO;NÃO INFORMADO;SUL;1 a 5 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;SUPERIOR COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PDT;NÃO INFORMADO;NÃO INFORMADO;SUL;5 a 10 anos;SC;2;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;SUPERIOR COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PDT;NÃO INFORMADO;NÃO INFORMADO;SUL;Mais de 10 anos;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;SUPERIOR COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PDT;NÃO INFORMADO;NÃO INFORMADO;SUL;Menos de 1 ano;SC;1;0;0;2024-10-04 18:04:53
2024;CASADO;25 a 34 anos;FEMININO;SUPERIOR COMPLETO;NÃO INFORMADO;NÃO INFORMADO;ITAJAÍ;Brasil;PL;NÃO INFORMADO;NÃO INFORMADO;SUL;1 a 5 anos;SC;1;0;0;2024-10-04 18:04:53
